High	CVE-2025-48384	git	1:2.39.5-0+deb12u2	none
High	CVE-2025-48384	git-man	1:2.39.5-0+deb12u2	none
Critical	CVE-2018-1000802	python	2.7.15	2.7.16
High	GHSA-cx63-2mw6-8hw5	setuptools	41.4.0	70.0.0
Critical	CVE-2019-9636	python	2.7.15	2.7.17
Critical	CVE-2024-5535	openssl	1.1.1w	1.0.2zk
Critical	CVE-2022-48565	python	2.7.15	3.6.13
High	CVE-2019-5010	python	2.7.15	2.7.16
Critical	CVE-2019-10160	python	2.7.15	2.7.17
High	CVE-2018-14647	python	2.7.15	none
High	CVE-2024-6232	python	2.7.15	3.8.20
High	CVE-2023-24329	python	2.7.15	3.7.17
Critical	CVE-2019-9948	python	2.7.15	2.7.17
High	CVE-2023-2953	libldap-2.5-0	2.5.13+dfsg-5	none
High	CVE-2019-9674	python	2.7.15	none
High	CVE-2023-31484	libperl5.36	5.36.0-7+deb12u2	none
High	CVE-2023-31484	perl	5.36.0-7+deb12u2	none
High	CVE-2023-31484	perl-base	5.36.0-7+deb12u2	none
High	CVE-2023-31484	perl-modules-5.36	5.36.0-7+deb12u2	none
High	CVE-2022-0391	python	2.7.15	3.6.14
High	CVE-2024-4032	python	2.7.15	3.8.20
High	CVE-2019-16056	python	2.7.15	none
High	CVE-2023-52425	libexpat1	2.5.0-1+deb12u1	none
High	CVE-2017-17522	python	2.7.15	none
High	CVE-2024-7592	python	2.7.15	3.8.20
